	615	17	-43	528
	665	22	-66	601
	714	40	-92	628
	764	48	-105	626
	815	42	-120	614
	865	50	-150	623
	915	57	-157	625
	965	53	-174	629
	1015	58	-185	637
	1065	69	-195	637
	1116	70	-221	632
	1166	77	-221	629
	1216	79	-231	627
	1265	92	-245	613
	1315	94	-261	627
	1366	91	-274	631
	1416	91	-283	613
	1466	104	-284	630
	1516	96	-304	629
	1566	111	-302	633
	1616	105	-323	638
	1667	110	-324	644
	1716	119	-331	639
	1766	112	-344	637
	1816	124	-351	634
	1866	129	-350	644
	1916	123	-370	654
	1967	127	-368	629
	2017	138	-380	634
	2067	134	-375	627
	2117	138	-396	633
	2166	147	-397	640
	2216	138	-398	646
	2267	153	-402	628
	2317	154	-426	628
	2367	145	-420	610
	2417	95	-415	705
	2467	154	-412	634
	2518	141	-435	654
	2568	143	-422	637
	2617	161	-449	634
	2667	75	-383	646
	2717	282	-151	677
	2767	263	-37	626
	2818	45	74	620
	2868	176	302	612
	2918	321	151	634
	2968	186	75	653
	3018	49	42	640
	3067	149	-110	636
	3118	59	-134	615
	3168	1	-370	641
	3218	175	-457	655
	3268	226	-538	651
	3318	70	-670	641
	3368	200	-610	644
	3419	160	-704	629
	3469	200	-718	650
	3519	203	-798	647
	3568	294	-795	644
	3618	152	-731	644
	3668	111	-762	656
	3719	132	-740	625
	3769	193	-783	642
	3819	180	-853	622
	3869	139	-928	619
	3919	221	-747	657
	3970	95	-820	640
	4019	184	-1115	636
	4069	151	-1470	638
	4119	236	-1341	645
	4169	207	-759	638
	4219	186	-456	640
	4270	176	-427	641
	4320	179	-427	636
	4370	177	-448	635
	4420	175	-492	618
	4469	128	-901	679
	4519	191	-826	647
	4570	175	-855	643
	4620	186	-859	635
	4670	272	-998	653
	4720	232	-931	647
	4770	187	-924	624
	4820	289	-804	636
	4871	269	-761	634
	4920	195	-662	626
	4970	245	-563	618
	5020	43	-359	615
	5070	54	-263	630
	5121	178	-123	584
	5171	152	-114	615
	5221	95	-201	654
	5271	79	-304	637
	5321	94	-423	636
	5371	216	-514	643
	5421	163	-475	625
	5471	327	-492	655
	5521	305	-408	636
	5571	201	-245	642
	5621	177	-169	643
	5671	121	221	633
	5722	204	392	649
	5772	162	345	633
	5822	155	158	626
	5871	86	-370	638
	5921	100	-804	639
	5971	57	-1163	644
	6022	101	-1356	650
	6072	246	-1241	648
	6122	272	-1049	653
	6172	315	-945	645
	6222	269	-795	637
	6273	179	-669	633
	6323	254	-675	644
	6372	132	-520	642
	6422	60	-381	630
	6472	266	-430	652
	6522	271	-331	640
	6573	318	-208	636
	6623	227	-138	613
	6673	63	-256	631
	6723	159	-149	625
	6773	189	-80	639
	6823	82	-22	625
	6873	120	103	628
	6923	118	210	627
	6973	201	-65	649
	7023	144	-322	648
	7073	140	-382	638
	7123	263	-413	658
	7174	153	326	661
	7224	307	-167	649
	7274	218	-551	671
	7323	183	-596	664
	7373	176	-606	664
	7424	194	-558	648
	7474	232	-317	645
	7524	202	-209	660
	7574	202	-312	651
	7624	183	-142	648
	7674	107	96	638
	7725	315	104	649
	7774	309	68	645
	7824	238	46	644
	7874	189	-70	649
	7924	99	-240	626
	7974	211	-526	659
	8025	103	-578	662
	8075	111	-554	660
	8125	182	-789	654
	8175	140	-796	658
	8224	142	-692	647
	8274	170	-767	647
	8325	191	-846	665
	8375	111	-949	646
	8425	6	-1163	664
	8475	49	-1298	660
	8525	64	-1319	636
	8576	193	-1636	660
	8626	345	-1895	667
	8675	306	-1766	665
	8725	199	-951	649
	8775	184	-541	631
	8825	191	-457	650
	8876	187	-446	639
	8926	312	-516	655
	8976	747	-574	641
	9026	661	-546	657
	9076	695	-483	655
	9125	570	-447	658
	9176	734	-427	652
	9226	488	-382	637
	9276	351	-488	609
	9326	130	-344	622
	9376	333	-300	645
