	562	-0.16	-2.58	-0.60
	612	-0.09	-2.62	-0.45
	662	-0.04	-2.67	-0.30
	712	0.03	-2.70	-0.17
	762	0.10	-2.73	-0.03
	813	0.16	-2.78	0.09
	863	0.22	-2.81	0.22
	913	0.29	-2.84	0.34
	963	0.35	-2.88	0.45
	1012	0.41	-2.90	0.56
	1062	0.48	-2.93	0.66
	1113	0.55	-2.96	0.76
	1163	0.60	-2.99	0.86
	1213	0.67	-3.02	0.95
	1263	0.74	-3.04	1.04
	1313	0.80	-3.06	1.12
	1363	0.87	-3.09	1.20
	1414	0.93	-3.12	1.28
	1464	1.00	-3.13	1.36
	1513	1.06	-3.15	1.43
	1563	1.12	-3.18	1.49
	1613	1.19	-3.20	1.56
	1664	1.25	-3.21	1.62
	1714	1.32	-3.24	1.68
	1764	1.37	-3.25	1.75
	1814	1.44	-3.27	1.80
	1864	1.50	-3.28	1.85
	1914	1.57	-3.29	1.91
	1964	1.63	-3.31	1.95
	2014	1.70	-3.32	2.00
	2064	1.76	-3.35	2.05
	2114	1.83	-3.35	2.09
	2164	1.88	-3.37	2.13
	2214	1.95	-3.38	2.16
	2265	2.02	-3.39	2.20
	2315	2.08	-3.40	2.23
	2365	2.15	-3.41	2.27
	2414	2.21	-3.42	2.30
	2464	2.28	-3.43	2.33
	2514	2.34	-3.45	2.37
	2565	2.41	-3.46	2.40
	2615	2.47	-3.46	2.42
	2665	2.53	-3.47	2.46
	2715	2.59	-3.48	2.48
	2765	2.65	-3.50	2.50
	2816	2.72	-3.51	2.52
	2865	2.78	-3.52	2.55
	2915	2.85	-3.54	2.56
	2965	2.91	-3.55	2.58
	3015	2.97	-3.56	2.60
	3065	3.04	-3.57	2.61
	3116	3.10	-3.57	2.63
	3166	3.17	-3.56	2.66
	3216	3.24	-3.56	2.69
	3266	3.30	-3.56	2.72
	3316	3.37	-3.56	2.74
	3365	3.43	-3.56	2.76
	3416	3.49	-3.57	2.78
	3466	3.56	-3.58	2.79
	3516	3.63	-3.60	2.81
	3566	3.69	-3.59	2.83
	3616	3.75	-3.60	2.85
	3666	3.82	-3.59	2.87
	3717	3.87	-3.60	2.88
	3767	3.94	-3.60	2.89
	3816	4.01	-3.60	2.91
	3866	4.07	-3.59	2.92
	3916	4.13	-3.60	2.93
	3966	4.20	-3.60	2.95
	4017	4.26	-3.59	2.96
	4067	4.32	-3.59	2.97
	4117	4.39	-3.60	2.99
	4167	4.45	-3.59	2.99
	4217	4.51	-3.60	3.00
	4267	4.58	-3.61	2.99
	4317	4.63	-3.62	2.98
	4367	4.69	-3.63	2.98
	4417	4.75	-3.63	2.99
	4467	4.82	-3.64	3.00
	4517	4.88	-3.64	3.00
	4568	4.94	-3.64	3.02
	4618	5.01	-3.64	3.02
	4668	5.07	-3.65	3.03
	4718	5.13	-3.65	3.02
	4767	5.20	-3.66	3.03
	4817	5.26	-3.65	3.05
	4868	5.37	-3.64	3.09
	4918	5.49	-3.66	3.15
	4968	5.59	-3.67	3.15
	5018	5.63	-3.68	3.14
	5068	5.62	-3.68	3.15
	5118	5.57	-3.69	3.16
	5169	5.50	-3.67	3.18
	5218	5.38	-3.67	3.19
	5268	5.25	-3.65	3.22
	5318	5.13	-3.64	3.26
	5368	5.08	-3.64	3.29
	5419	5.12	-3.64	3.33
	5469	5.14	-3.66	3.38
	5519	5.17	-3.66	3.42
	5569	5.26	-3.66	3.47
	5619	5.39	-3.67	3.52
	5669	5.48	-3.66	3.55
	5719	5.52	-3.69	3.56
	5769	5.51	-3.70	3.55
	5819	5.56	-3.71	3.53
	5869	5.62	-3.74	3.54
	5919	5.65	-3.74	3.54
	5969	5.67	-3.78	3.56
	6020	5.72	-3.78	3.59
	6070	5.71	-3.76	3.62
	6120	5.72	-3.76	3.67
	6169	5.85	-3.75	3.70
	6219	6.04	-3.76	3.73
	6269	6.23	-3.76	3.78
