	558	1.00	-0.01	0.02	0.00
	607	1.00	-0.00	0.02	0.00
	657	1.00	-0.00	0.02	0.00
	707	1.00	-0.00	0.02	-0.00
	757	1.00	-0.00	0.02	-0.00
	807	1.00	0.00	0.02	-0.00
	858	1.00	0.00	0.02	-0.00
	908	1.00	0.00	0.02	-0.00
	958	1.00	0.00	0.03	-0.00
	1008	1.00	0.00	0.03	-0.00
	1057	1.00	0.01	0.03	-0.00
	1107	1.00	0.01	0.03	-0.00
	1158	1.00	0.01	0.03	-0.01
	1208	1.00	0.01	0.03	-0.01
	1258	1.00	0.01	0.03	-0.01
	1308	1.00	0.01	0.03	-0.01
	1358	1.00	0.01	0.03	-0.01
	1409	1.00	0.01	0.03	-0.01
	1459	1.00	0.01	0.03	-0.01
	1508	1.00	0.01	0.03	-0.01
	1558	1.00	0.01	0.03	-0.01
	1608	1.00	0.01	0.03	-0.01
	1658	1.00	0.01	0.03	-0.01
	1709	1.00	0.02	0.03	-0.01
	1759	1.00	0.02	0.03	-0.01
	1809	1.00	0.02	0.03	-0.01
	1859	1.00	0.02	0.03	-0.01
	1909	1.00	0.02	0.03	-0.01
	1959	1.00	0.02	0.03	-0.01
	2009	1.00	0.02	0.03	-0.01
	2059	1.00	0.02	0.03	-0.01
	2109	1.00	0.02	0.03	-0.02
	2159	1.00	0.02	0.03	-0.02
	2209	1.00	0.02	0.03	-0.02
	2259	1.00	0.02	0.03	-0.02
	2310	1.00	0.02	0.03	-0.02
	2360	1.00	0.02	0.03	-0.02
	2410	1.00	0.02	0.03	-0.02
	2459	1.00	0.02	0.03	-0.02
	2509	1.00	0.02	0.03	-0.02
	2560	1.00	0.02	0.03	-0.02
	2610	1.00	0.02	0.03	-0.02
	2660	1.00	0.02	0.03	-0.02
	2710	1.00	0.02	0.03	-0.02
	2760	1.00	0.02	0.03	-0.02
	2810	1.00	0.02	0.03	-0.02
	2861	1.00	0.02	0.03	-0.02
	2910	1.00	0.02	0.03	-0.02
	2960	1.00	0.02	0.03	-0.02
	3010	1.00	0.02	0.03	-0.03
	3060	1.00	0.02	0.03	-0.03
	3110	1.00	0.02	0.03	-0.03
	3161	1.00	0.02	0.03	-0.03
	3211	1.00	0.02	0.03	-0.03
	3261	1.00	0.02	0.03	-0.03
	3311	1.00	0.02	0.03	-0.03
	3361	1.00	0.03	0.03	-0.03
