	566	-26	14	175
	616	-33	-8	530
	666	-24	-24	603
	716	-22	-49	622
	766	-10	-74	622
	817	5	-95	632
	867	11	-116	626
	917	17	-136	626
	966	21	-159	622
	1017	34	-175	616
	1067	30	-190	623
	1117	39	-212	632
	1167	40	-218	615
	1217	48	-236	628
	1267	58	-248	626
	1317	68	-266	619
	1368	67	-280	616
	1418	78	-287	623
	1468	76	-294	628
	1518	80	-308	624
	1567	81	-323	616
	1617	90	-331	615
	1668	87	-338	618
	1718	96	-361	619
	1768	98	-368	626
	1818	102	-379	620
	1868	101	-388	628
	1918	106	-392	622
	1969	114	-397	622
	2018	114	-408	623
	2068	117	-423	615
	2118	118	-417	613
	2168	116	-425	620
	2219	124	-435	620
	2269	120	-440	616
	2319	119	-442	628
	2369	135	-451	611
	2419	129	-455	617
	2469	136	-459	602
	2519	127	-474	619
	2569	135	-475	610
	2619	147	-472	609
	2669	141	-480	616
	2719	136	-489	610
	2769	145	-486	607
	2820	139	-483	620
	2870	148	-499	606
	2920	147	-498	607
	2969	139	-507	611
	3019	142	-506	605
	3069	144	-501	609
	3120	155	-502	608
	3170	152	-505	612
	3220	147	-514	608
	3270	140	-523	618
	3320	155	-527	604
	3371	152	-472	611
	3420	275	-207	638
	3470	255	-75	635
	3520	317	-102	618
	3570	211	-259	611
	3620	191	-337	616
	3671	173	-387	612
	3721	39	-458	606
	3771	124	-427	616
	3821	-124	-574	611
	3870	181	-570	613
	3920	24	-499	611
	3971	150	-477	618
	4021	193	-330	622
	4071	115	-350	620
	4121	126	-492	609
	4171	227	-534	599
	4221	215	-627	611
	4272	142	-483	604
	4322	276	-465	606
	4371	106	-535	615
	4421	177	-591	604
	4471	231	-749	589
	4521	154	-737	600
	4572	220	-711	610
	4622	97	-730	589
	4672	148	-849	599
	4722	227	-733	588
	4772	152	-610	614
	4822	190	-441	625
	4872	49	-271	644
	4922	135	-159	625
	4972	250	-221	610
	5022	373	-368	609
	5072	192	-512	613
	5123	230	-732	604
	5173	175	-747	589
	5223	176	-758	598
	5272	143	-730	617
	5322	132	-608	598
	5372	188	-666	615
	5423	194	-769	631
	5473	160	-846	612
	5523	142	-923	591
	5573	89	-862	592
	5623	169	-811	596
	5673	98	-565	619
	5723	3	-367	612
	5773	210	-344	612
	5823	81	-325	606
	5873	232	-484	628
	5923	322	-548	585
	5974	212	-1141	579
	6024	597	-1254	583
	6074	536	-950	585
	6124	579	-804	656
	6173	137	-917	458
	6223	171	-838	608
	6274	-4	-1078	594
	6324	131	-651	623
	6374	215	-453	596
	6424	127	-347	1101
	6474	201	-410	685
	6524	399	-544	732
	6575	346	-467	689
	6625	317	-428	718
	6674	195	-350	640
	6724	-19	-372	584
	6774	-198	-379	614
	6824	-65	-280	643
	6875	346	-469	602
	6925	250	-257	570
	6975	466	-351	628
	7025	561	-472	620
	7075	521	-310	654
	7126	507	-201	602
	7175	222	-384	624
	7225	270	-563	627
	7275	460	-572	597
	7325	565	-563	613
	7375	380	-673	598
	7426	452	-507	627
	7476	424	-236	635
	7526	445	98	637
	7576	103	909	627
	7626	-98	578	657
	7675	-91	2	697
	7726	152	-20	503
	7776	474	360	708
	7826	773	-229	681
	7876	97	-172	677
	7926	572	-798	584
